OBJECTID,SPECIESCODE,LATINNAME,GENUS,SPECIES,CULTIVAR,COMMONNAME,SPECIESNAME,ALTCOMMON,LEAFCYCLE,LEAFTYPE,BOULDERNUM,RECOMMEND
65,CROX,Crataegus monogyna,Crataegus,monogyna,,Oneseed hawthorn,"hawthorn, Oneseed",Common hawthorn,deciduous,broadleaved,16,no
220,TICO,Tilia cordata,Tilia,cordata,,Littleleaf linden,"linden, Littleleaf",,deciduous,broadleaved,718,no
192,QUGA,Quercus x mazei,Quercus,x mazei,,Colorado Foothills oak,"oak, Colorado Foothills",,deciduous,broadleaved,5,yes
113,MORU,Morus rubra,Morus,rubra,,Red mulberry,"mulberry, Red",,deciduous,broadleaved,1,no
221,TITO,Tilia tomentosa,Tilia,tomentosa,,Silver linden,"linden, Silver",,deciduous,broadleaved,32,yes
112,MOAL,Morus alba Pendula,Morus,alba,Pendula,Weeping mulberry,"mulberry, Weeping",,deciduous,broadleaved,4,no
126,PIFL,Pinus flexilis,Pinus,flexilis,,Limber pine,"pine, Limber",,evergreen,needleleaved,118,yes
237,ACTA,Acer tataricum Hot Wings,Acer,tataricum,Hot Wings,Hot Wings Tatarian maple,"maple, Hot Wings Tatarian",,deciduous,broadleaved,187,yes
183,QUPA,Quercus palustris,Quercus,palustris,,Pin oak,"oak, Pin",,deciduous,broadleaved,244,no
111,MOAL,Morus alba,Morus,alba,,White mulberry,"mulberry, White",,deciduous,broadleaved,47,no
193,RHCA,Rhamnus cathartica,Rhamnus,cathartica,,European buckthorn,"buckthorn, European",Common buckthorn,deciduous,broadleaved,18,no
33,BEPA,Betula papyrifera,Betula,papyrifera,,Paper birch,"birch, Paper",,deciduous,broadleaved,7,no
213,SYSP,Syringa spp,Syringa,spp,,lilac unknown species,lilac unknown species,,deciduous,broadleaved,2,no
201,SABA1,Salix babylonica,Salix,babylonica,,Weeping willow,"willow, Weeping",Babylon Weeping willow,deciduous,broadleaved,4,no
74,FA,Fagus spp,Fagus,spp,,beech unknown species,beech unknown species,,deciduous,broadleaved,0,no
92,JUSC,Juniperus scopulorum,Juniperus,scopulorum,,Rocky Mountain juniper,"juniper, Rocky Mountain",,evergreen,needleleaved,522,yes
178,QUGA,Quercus gambelii,Quercus,gambelii,,Gambel oak,"oak, Gamble",,deciduous,broadleaved,121,yes
165,PRVI,Prunus virginiana Canada Red,Prunus,virginiana,Canada Red,Canada Red chokecherry,"chokecherry, Canada Red",,deciduous,broadleaved,9,yes
115,PIAB,Picea abies,Picea,abies,,Norway spruce,"spruce, Norway",,evergreen,needleleaved,31,no
38,CABE,Carpinus betulus Fastigiata,Carpinus,betulus,Fastigiata,Upright European hornbeam,"hornbeam, Upright European",,deciduous,broadleaved,24,yes
229,ULPR,Ulmus procera,Ulmus,procera,,English elm,"elm, English",,deciduous,broadleaved,1,no
144,POAN,Populus angustifolia,Populus,angustifolia,,Narrowleaf cottonwood,"cottonwood, Narrowleaf",Mountain cottonwood,deciduous,broadleaved,69,yes
13,ACPL,Acer platanoides,Acer,platanoides,,Norway maple,"maple, Norway",,deciduous,broadleaved,1007,no
188,QURU,Quercus rubra,Quercus,rubra,,Northern Red oak,"oak, Northern Red",,deciduous,broadleaved,534,no
52,CE3,Cercocarpus spp,Cercocarpus,spp,,mountain mahogany unknown species,mountain mahogany unknown species,,deciduous,broadleaved,6,no
128,PIMO3,Pinus monticola,Pinus,monticola,,Western White pine,"pine, Western White",,evergreen,needleleaved,9,no
219,TIAM,Tilia americana,Tilia,americana,,American linden,"linden, American",American basswood,deciduous,broadleaved,1093,no
143,POALPY,Populus alba Pyramidalis,Populus,alba,Pyramidalis,Bolleana poplar,"poplar, Bolleana",Pyramidalis White poplar,deciduous,broadleaved,1,no
251,ACSA2,Acer saccharum,Acer,saccharum,Caddo,Caddo Sugar maple,"maple, Caddo Sugar",,deciduous,broadleaved,0,yes
95,KOPA,Koelreuteria paniculata,Koelreuteria,paniculata,,Goldenrain tree,Goldenrain tree,,deciduous,broadleaved,207,yes
